"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
s_trial,eligibility_screening_questionnaire,,radio,"A10. Are you currently enrolled in a COVID-19 or influenza vaccine clinical trial or intend to enroll in a COVID-19 or influenza vaccine clinical trial during your pregnancy? ","1, Yes | 0, No",,,,,,[s_emr]='1',,,,,,
s_trial_yes,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PATIENT NOT ELIGIBLE FOR COHORT STUDY. 

SAY</b>: Thank you for your time.  We are looking for patients who are not currently enrolled or do not intend to enroll in a COVID-19 or influenza vaccine clinical trial during pregnancy.  We wish you well.

",,,,,,,[s_trial]='1',,,,,," @HIDDEN-SURVEY"
s_eligible,eligibility_screening_questionnaire,,descriptive,"<div style=""font-size: 1.5em"">PATIENT IS ELIGIBLE FOR ENROLLMENT</div><br><b><u>SAY</b></u>: From the answers you have provided, you are eligible to participate in this study of the impact of COVID-19 on pregnant women. ",,,,,,,[s_trial]='0',,,,,," @HIDDEN-SURVEY"
s_interest2,eligibility_screening_questionnaire,,radio,"A11. Are you interested in learning more about participating in this study?","1, Yes | 0, No",,,,,,[s_trial]='0',,,,,,
s_interest_no2,eligibility_screening_questionnaire,,radio,"A11a. Do you mind telling me the reason you do not want to learn more?","1, Too busy| 2, Not interested |3, Other",,,,,,[s_interest2]='0',,,,,,
s_interest_no_spec2,eligibility_screening_questionnaire,,text,"A11b. Other, specify:",,,,,,,[s_interest_no2]='3',,,,,,
s_a11b_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>. 

SAY</b>: Thank you for your time. We wish you well.

",,,,,,,[s_interest2]='0',,,,,," @HIDDEN-SURVEY"
s_available,eligibility_screening_questionnaire,,radio,"A12. Are you available to go over consent now?","1, Yes | 0, No",,,,,,[s_interest2]='1',,,,,,
s_a12_script,eligibility_screening_questionnaire,,descriptive,"
<b>BEGIN CONSENT WITH PATIENT AND THEN CONTINUE TO A13. IF CONVERSING REMOTELY VIA PHONE GO TO A12a.</b>

",,,,,,,[s_available]='1',,,,,," @HIDDEN-SURVEY"
s_a14,eligibility_screening_questionnaire,,descriptive,"<div class=""rich-text-field-label""><p>A14. Schedule time to go over consent if woman needs to end questionnaire.</p> <p>SAY: <span style=""font-weight: normal;"">""Thank you for agreeing to learn more about participation in this study. We would like to schedule a time to meet with you and review a consent form for participation. The consent form will explain the study and what we will ask you to do if you join. If you decide to join this study, we will ask you to sign the consent form, and we will give you a copy of the form to keep. This meeting will only take about 20 minutes ."" </span></p> <p><span style=""font-weight: normal;""><strong>Schedule time for woman to meet:</strong></span></p></div>",,,,,,,[s_available]='0',,,,,," @HIDDEN-SURVEY"
s_consentdate,eligibility_screening_questionnaire,,text,"A14a. Date:",,,date_mdy,,2022-12-31,,[s_available]='0',,,,,,
s_consenttime,eligibility_screening_questionnaire,,text,"A14b. Time:",,"24-hour time format",time,,,,[s_available]='0',,,,,,
s_consentloc,eligibility_screening_questionnaire,,notes,"A14c. Location: ",,,,,,y,[s_available]='0',,,,,,
s_a14c_script,eligibility_screening_questionnaire,,descriptive,"
GO TO A15 BELOW TO GATHER CONTACT NUMBER FOR FOLLOW UP.

AFTER FOLLOW-UP CALL TO REVIEW INFORMED CONSENT, GO BACK AND COMPLETE A13.

",,,,,,,"[s_available]='0' and ([s_consentdate]<>"""" or [s_consenttime]<>"""" or [s_consentloc]<>"""")",,,,,," @HIDDEN-SURVEY"
s_consentappt,eligibility_screening_questionnaire,,radio,"<i>[INTERVIEWER: Select ""Yes"" once participant is on the phone to complete consent, then complete A12a]</i>","1, Yes | 0, No",,,,,,[s_available]='0',,,,,,
s_consent_mode,eligibility_screening_questionnaire,,radio,"A12a. Would you prefer the consent form be sent to you via text message or email?","1, Text message|2, Email",,,,,,"([s_available]='1' or [s_consentappt]='1') and [s_mode]<>'3'",,,,,,
sp_s_interest,eligibility_screening_questionnaire,"<div style=""font-size: 1.5em"">INTRODUCCIÓN</div>",radio,"A1. Hola. Estamos haciendo un estudio voluntario para el que usted puede ser elegible. El estudio seguirá a un grupo de mujeres embarazadas para ver si contraen COVID-19 y nos ayudará a conocer más sobre el impacto del COVID-19 en las mujeres embarazadas. Este estudio implicará ser contactada una vez a la semana por medio de mensaje de texto o correo electrónico (o por teléfono si es necesario) durante el embarazo para responder algunas preguntas breves de detección. También se le pedirá que tome muestras respiratorias de su nariz y las envíe por correo a un laboratorio central, una vez a la semana, en un paquete prepago. Si se enferma, le pediremos que tome una muestra respiratoria adicional con cada episodio de la enfermedad y la envíe por correo al laboratorio central, en un paquete prepago. También se le pedirá que permita la extracción de sangre al momento en que se inscriba en el estudio, una vez más durante el estudio y dentro de las 2-4 semanas después del final de su embarazo. El personal del estudio también se comunicará con usted mensualmente durante su embarazo y cuando tenga a su bebé para hacerle preguntas sobre su salud y su embarazo y parto. ¿Puedo hablar con usted sobre este estudio y hacerle algunas preguntas breves para ver si es elegible para participar?","1, Sí | 0, No",,,,,,[s_language(2)]='1',,,,,,
sp_s_interest_no,eligibility_screening_questionnaire,,radio,"A1a. ¿Me podría decir la razón por la que no desea obtener más información sobre el estudio?","1, Muy ocupada | 2, No estoy interesada | 3, Otra",,,,,,[sp_s_interest]='0',,,,,,
sp_s_interest_no_spec,eligibility_screening_questionnaire,,text,"A1b. Otra, especifique: ",,,,,,,[sp_s_interest_no]='3',,,,,,
sp_s_a1b_script,eligibility_screening_questionnaire,,descriptive,"<b>SAY</b>: Gracias por su tiempo. Le deseamos lo mejor.",,,,,,,[sp_s_interest]='0',,,,,," @HIDDEN-SURVEY"
sp_s_re_willing,eligibility_screening_questionnaire,,radio,"A2. ¿Estaría usted dispuesta a responder dos preguntas rápidas sobre su raza y su grupo étnico?","1, Sí | 0, No",,,,,,[sp_s_interest]='1',,,,,,
sp_s_race,eligibility_screening_questionnaire,,checkbox,"A2a. ¿De qué raza se considera usted? [MARQUE TODAS LAS QUE APLIQUEN]","1, Blanco | 2, Asiática | 3, Negro o afroamericana | 4, Nativa de Hawái o de otras islas del pacífico | 5, Indio américana o nativa de Alaska | 6, Otra raza, especifique","MARQUE TODAS LAS QUE APLIQUEN",,,,,[sp_s_re_willing]='1',,,,,,
sp_s_race_spec,eligibility_screening_questionnaire,,text,"A2b. Otra raza, especifique",,,,,,,[sp_s_race(6)]='1',,,,,,
sp_s_ethnicity,eligibility_screening_questionnaire,,radio,"A2c. ¿Es usted hispana, latina o de orígen español? [MARQUE SÓLO UNA]","1, Hispana/Latina/Orígen español | 0, No hispana/No latina/No de orígen español",,,,,,[sp_s_re_willing]='1',,,,,,
sp_s_age_spec,eligibility_screening_questionnaire,"<div style=""font-size: 1.5em"">Preguntas de Evaluación de Elegibilidad</div>",text,"A3. ¿Cuál es su edad? [Enter participant age here:]",,,integer,10,70,,[sp_s_interest]='1',,,,,,
sp_s_age,eligibility_screening_questionnaire,,radio,"A3a. ¿Cuál es su edad?","1, Entre 18-50 años |2, Menor de 18 años o mayor de 50 años",,,,,,[sp_s_interest]='1',,,,,," @HIDDEN"
sp_s_a3_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PACIENTE NO ES ELIGIBLE PARA EL GRUPO DE ESTUDIO. 

SAY</b>: Gracias por su tiempo. Estamos buscando a pacientes entre las edades de 18 a 50 años.  Le deseamos lo mejor.

",,,,,,,"[sp_s_age]='2' or ([sp_s_age_spec]<>"""" and ([sp_s_age_spec]>50 or [sp_s_age_spec]<18))",,,,,," @HIDDEN-SURVEY"
sp_s_deliversite,eligibility_screening_questionnaire,,radio,"A4. ¿Planea usted dar a luz en [s_site] (hospital, sistema hospitalario, lugar de parto)?","1, Sí | 0, No",,,,,,"[sp_s_age]='1' or ([sp_s_age_spec]>=18 and [sp_s_age_spec]<=50)",,,,,,
sp_s_a4_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PACIENTE NO ELIGIBLE PARA EL GRUPO DEL ESTUDIO. 

SAY</b>: Gracias por su tiempo.  Estamos buscando pacientes que planear dar a luz en [s_site].  Le deseamos lo mejor.

",,,,,,,[sp_s_deliversite]='0',,,,,," @HIDDEN-SURVEY"
sp_s_phone,eligibility_screening_questionnaire,,radio,"A5. ¿Tiene usted un número de teléfono que funcione (en la casa o móvil)?","1, Sí | 0, No",,,,,,[sp_s_deliversite]='1',,,,,,
sp_s_a5_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PACIENTE NO ELIGIBLE PARA EL GRUPO DE ESTUDIO. 

SAY</b>: Gracias por su tiempo. Estamos buscando pacientes con un número de teléfono, móvil o de casa, permanente.  Le deseamos lo mejor.
",,,,,,,[sp_s_phone]='0',,,,,," @HIDDEN-SURVEY"
sp_s_samples,eligibility_screening_questionnaire,,radio,"A6. ¿Está usted dispuesta a tomar y enviar por correo muestras respiratorias y ser contactada por teléfono, mensaje de texto o correo electrónico, semanalmente durante el embarazo y una vez durante las 4 semanas después del parto?","1, Sí | 0, No",,,,,,[sp_s_phone]='1',,,,,,
sp_s_a6_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PACIENTE NO ELIGIBLE PARA EL GRUPO DE ESTUDIO. 

SAY</b>: Gracias por su tiempo.  Estamos buscando pacientes que estén dispuestas a tomar y enviar por correo muestras respiratorias y ser contactadas semanalmente durante el embarazo y hasta 4 semanas después del parto. Le deseamos lo mejor. 
",,,,,,,[sp_s_samples]='0',,,,,," @HIDDEN-SURVEY"
sp_s_reading,eligibility_screening_questionnaire,,radio,"A7. ¿Se siente usted cómoda leyendo mensajes de texto o correos electrónicos que se le envíen ya sea en inglés o en español?","1, Sí | 0, No",,,,,,[sp_s_samples]='1',,,,,,
sp_s_a7_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PACIENTE NO ELIGIBLE PARA EL GRUPO DEL ESTUDIO. 

SAY</b>: Gracias por su tiempo.  Estamos buscando pacientes que se sientan cómodas leyendo mensajes de texto o correos eléctricos en inglés o español. Le deseamos lo mejor.
",,,,,,,[sp_s_reading]='0',,,,,," @HIDDEN-SURVEY"
sp_s_ga,eligibility_screening_questionnaire,,text,"A8. ¿En qué semana de embarazo está usted? ",,,integer,0,43,,"[sp_s_reading]='1' and [sp_s_ga_unk]=""""",,,,,,
sp_s_ga_unk,eligibility_screening_questionnaire,,radio,"Semana de embarazo DESCONOCIDA:","88, Desconocida",,,,,,"[sp_s_reading]='1' and [sp_s_ga]=""""",,,,,,
sp_s_a8_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PACIENTE NO ELIGIBLE PARA EL GRUPO DE ESTUDIO. 

SAY</b>: Gracias por su tiempo. Estamos buscando pacientes con menos de 28 semanas de embarazo. Le deseamos lo mejor. 
",,,,,,,[sp_s_ga]>=28,,,,,," @HIDDEN-SURVEY"
sp_s_trimester,eligibility_screening_questionnaire,,radio,"A8a. En qué trimestre está usted? [LEA LAS OPCIONES EN VOZ ALTA]","1, Primer trimestre, 0 - 13 semanas | 2, Segundo trimestre, 14 - 27 semanas | 3, Tercer trimestre, 28 - 40 semanas | 88, No sabe",,,,,,[sp_s_ga_unk]='88',,,,,,
sp_s_a8a_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PACIENTE NO ELIGIBLE PARA EL GRUPO DEL ESTUDIO. 

SAY</b>: Gracias por su tiempo. Estamos buscando pacientes que estén en el primer o segundo trimestre de su embarazo.  Le deseamos lo mejor. 
",,,,,,,[sp_s_trimester]='3',,,,,," @HIDDEN-SURVEY"
sp_s_a8a_script2,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PACIENTE NO ELIGIBLE PARA EL GRUPO DE ESTUDIO. 

SAY</b>: Gracias por su tiempo. Estamos buscando pacientes con información sobre cuando su embarazo comenzó. Le deseamos lo mejor.
",,,,,,,[sp_s_trimester]='88',,,,,," @HIDDEN-SURVEY"
sp_s_emr,eligibility_screening_questionnaire,,radio,"A9. Está usted dispuesta a permitir que se colecte información de su archivo médico electrónico y del archivo médico electrónico de su niño(a) al terminar su embarazo? ","1, Sí | 0, No",,,,,,"[sp_s_trimester]='1' or [sp_s_trimester]='2' or ([sp_s_ga]<>"""" and [sp_s_ga]<28)",,,,,,
sp_s_a9_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PACIENTE NO ELIGIBLE PARA EL GRUPO DEL ESTUDIO. 

SAY</b>: Gracias por su tiempo. Estamos buscando pacientes que estén dispuestas a permitir que se colecte información del archivo médico electrónico de su niño(a). Le deseamos lo mejor.
",,,,,,,[sp_s_emr]='0',,,,,," @HIDDEN-SURVEY"
sp_s_trial,eligibility_screening_questionnaire,,radio,"A10. ¿Está actualmente inscrita en un ensayo clínico de la vacuna contra la influenza o COVID-19 o tiene la intención de inscribirse en un ensayo clínico de vacuna contra la influenza o COVID-19, durante su embarazo?","1, Sí | 0, No",,,,,,[sp_s_emr]='1',,,,,,
sp_s_trial_yes,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>, PACIIENTE NO ELIGIBLE PARA EL GRUPO DEL ESTUDIO. 

SAY</b>: Muchas gracias por su tiempo.  Estamos buscando pacientes que actualmente no estén inscritos y que no tengan la intención de inscribirse en un ensayo clínico para la vacuna contra COVID-19 ni de la influenza durante el embarazo.  Le deseamos lo mejor.
",,,,,,,[sp_s_trial]='1',,,,,," @HIDDEN-SURVEY"
sp_s_eligible,eligibility_screening_questionnaire,,descriptive,"<div style=""font-size: 1.5em"">PACIENTE ES ELIGIBLE PARA INSCRIBIRSE</div><br><b><u>SAY</b></u>: A partir de las respuestas que usted nos ha dado, es elegible para participar en este estudio sobre el impacto del COVID-19 en las mujeres embarazadas. ",,,,,,,[sp_s_trial]='0',,,,,," @HIDDEN-SURVEY"
sp_s_interest2,eligibility_screening_questionnaire,,radio,"A11. ¿Está usted interesada en saber más sobre la participación en este estudio?","1, Sí | 0, No",,,,,,[sp_s_trial]='0',,,,,,
sp_s_interest_no2,eligibility_screening_questionnaire,,radio,"A11a. ¿Le importaría decirme las razones por las que no desea saber más?","1, Muy ocupada | 2, No interesada | 3, Otra",,,,,,[sp_s_interest2]='0',,,,,,
sp_s_interest_no_spec2,eligibility_screening_questionnaire,,text,"A11b. Otra, especifique:",,,,,,,[sp_s_interest_no2]='3',,,,,,
sp_s_a11b_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>. 

SAY</b>: Gracias por su tiempo. Le deseamos lo mejor.
",,,,,,,[sp_s_interest2]='0',,,,,," @HIDDEN-SURVEY"
sp_s_available,eligibility_screening_questionnaire,,radio,"A12. ¿Está disponible para revisar el consentimiento ahora?","1, Sí | 0, No",,,,,,[sp_s_interest2]='1',,,,,,
sp_s_a12_script,eligibility_screening_questionnaire,,descriptive,"
<b>COMIENCE EL CONSENTIMIENTO CON LA PACIENTE Y LUEGO CONTINÚE EN LA A13. SI ESTÁ CONVERSANDO REMOTAMENTE VIA TELÉFONO VAYA A LA A12a.</b>
",,,,,,,[sp_s_available]='1',,,,,," @HIDDEN-SURVEY"
sp_s_a14,eligibility_screening_questionnaire,,descriptive,"<div class=""rich-text-field-label""><p>A14. Programe tiempo para revisar el consentimiento si la mujer necesita terminar el cuestionario.</p> <p>SAY: <span style=""font-weight: normal;"">""Gracias por estar de acuerdo en saber más sobre la participación en este estudio. Nos gustaría programar un tiempo para reunirnos con usted y revisar el formulario de consentimiento para la participación. El formulario de consentimiento le explicará el estudio y qué se le va a pedir que haga si decide participar. Si decide participar, le pediremos que firme el formulario de consentimiento y le daremos una copia del mismo para que lo guarde. Esta reunión se tomará sólo alrededor de 20 minutos."" </span></p> <p><span style=""font-weight: normal;""><strong>Programa el tiempo para reunirse con la mujer:</strong></span></p></div>",,,,,,,[sp_s_available]='0',,,,,," @HIDDEN-SURVEY"
sp_s_consentdate,eligibility_screening_questionnaire,,text,"A14a. Fecha:",,,date_mdy,,2022-12-31,,[sp_s_available]='0',,,,,,
sp_s_consenttime,eligibility_screening_questionnaire,,text,"A14b. Hora:",,"Formato de 24-horas",time,,,,[sp_s_available]='0',,,,,,
sp_s_consentloc,eligibility_screening_questionnaire,,notes,"A14c. Lugar: ",,,,,,y,[sp_s_available]='0',,,,,,
sp_s_a14c_script,eligibility_screening_questionnaire,,descriptive,"
VAYA A LA A15 MÁS ADELANTE PARA OBTENER EL NÚMERO DE CONTACTO PARA EL SEGUIMIENTO.

DESPUÉS DE LA LLAMADA DE SEGUIMIENTO PARA REVISAR EL CONSENTIMIENTO INFORMADO, REGRESE ATRÁS Y COMPLETE LA A13.
",,,,,,,"[sp_s_available]='0' and ([sp_s_consentdate]<>"""" or [sp_s_consenttime]<>"""" or [sp_s_consentloc]<>"""")",,,,,," @HIDDEN-SURVEY"
sp_s_consentappt,eligibility_screening_questionnaire,,radio,"<i>[INTERVIEWER: Seleccion ""Sí"" una vez que la participante esté en el teléfono para completar el consentimiento, entonces complete la A12a]</i>","1, Sí | 0, No",,,,,,[sp_s_available]='0',,,,,,
sp_s_consent_mode,eligibility_screening_questionnaire,,radio,"A12a. ¿Preferiría usted que le enviemos el formulario de consentimiento por mensaje de texto o correo electrónico?","1, Mensage de texto |2, Correo electrónico",,,,,,"([sp_s_available]='1' or [sp_s_consentappt]='1') and [s_mode]<>'3'",,,,,,
s_text_consent_en,eligibility_screening_questionnaire," ",descriptive,"Please provide your phone number:",,,,,,,"[s_consent_mode]='1' and [s_language(1)]='1'",,,,,,
s_text_consent_sp,eligibility_screening_questionnaire,,descriptive,"Por favor, deme su número de teléfono:",,,,,,,"[sp_s_consent_mode]='1' and [s_language(2)]='1'",,,,,,
s_text_consent,eligibility_screening_questionnaire,,text,,,,,,,y,"[s_consent_mode]='1' or [sp_s_consent_mode]='1'",,,,,,
s_email_consent_en,eligibility_screening_questionnaire,,descriptive,"Please provide your email address:",,,,,,,"[s_consent_mode]='2' and [s_language(1)]='1' ",,,,,,
s_email_consent_sp,eligibility_screening_questionnaire,,descriptive,"Por favor, deme su dirección de correo electrónico:",,,,,,,"[sp_s_consent_mode]='2' and [s_language(2)]='1' ",,,,,,
s_email_consent,eligibility_screening_questionnaire,,text,,,,email,,,y,"[s_consent_mode]='2' or [sp_s_consent_mode]='2'",,,,,,
s_consent,eligibility_screening_questionnaire," ",radio,"A13. [AFTER REVIEWING CONSENT FORM] DID THE PATIENT SIGN THE CONSENT FORM?","1, Yes | 0, No",,,,,,"([s_available]='1' or [s_consentappt]='1') or ([sp_s_available]='1' or [sp_s_consentappt]='1')",,,,,,
s_a13_script,eligibility_screening_questionnaire,,descriptive,"
<b><u>STOP</u>. SAY</b>: ""Thank you for your time. We wish you well.""

",,,,,,,"[s_consent]='0' and [s_language(1)]='1'",,,,,," @HIDDEN-SURVEY"
